event_name,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_1_source_unit,mass_2_source,mass_2_source_lower,mass_2_source_upper,mass_2_source_unit,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,network_matched_filter_snr_unit,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,luminosity_distance_unit,chi_eff,chi_eff_lower,chi_eff_upper,chi_eff_unit,total_mass_source,total_mass_source_lower,total_mass_source_upper,total_mass_source_unit,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass_source_unit,chirp_mass,chirp_mass_lower,chirp_mass_upper,chirp_mass_unit,redshift,redshift_lower,redshift_upper,redshift_unit,far,far_lower,far_upper,far_unit,p_astro,p_astro_lower,p_astro_upper,p_astro_unit,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_mass_source_unit
GW200302_015811-v1,GW200302_015811,1,GWTC-3-confident,1267149509.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,37.8,-8.5,8.7,M_sun,20.0,-5.7,8.1,M_sun,10.8,-0.4,0.3,,1480.0,-700.0,1020.0,Mpc,0.01,-0.26,0.25,,57.8,-6.9,9.6,M_sun,23.4,-3.0,4.7,M_sun,,,,,0.28,-0.12,0.16,,0.11,,,1/yr,0.90643,,,,55.5,-6.6,8.9,M_sun
GW200225_060421-v1,GW200225_060421,1,GWTC-3-confident,1266645879.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,19.3,-3.0,5.0,M_sun,14.0,-3.5,2.8,M_sun,12.5,-0.4,0.3,,1150.0,-530.0,510.0,Mpc,-0.12,-0.28,0.17,,33.5,-3.0,3.6,M_sun,14.2,-1.4,1.5,M_sun,,,,,0.22,-0.1,0.09,,1.1e-05,,,1/yr,0.99,,,,32.1,-2.8,3.5,M_sun
GW200224_222234-v1,GW200224_222234,1,GWTC-3-confident,1266618172.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,40.0,-4.5,6.7,M_sun,32.7,-7.2,4.8,M_sun,20.0,-0.2,0.2,,1710.0,-650.0,500.0,Mpc,0.1,-0.16,0.15,,72.3,-5.3,7.2,M_sun,31.1,-2.7,3.3,M_sun,,,,,0.32,-0.11,0.08,,1e-05,,,1/yr,0.99,,,,68.7,-4.8,6.7,M_sun
GW200220_124850-v1,GW200220_124850,1,GWTC-3-confident,1266238148.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,38.9,-8.6,14.1,M_sun,27.9,-9.0,9.2,M_sun,8.5,-0.5,0.3,,4000.0,-2200.0,2800.0,Mpc,-0.07,-0.33,0.27,,67.0,-12.0,17.0,M_sun,28.2,-5.1,7.3,M_sun,,,,,0.66,-0.31,0.36,,30.0,,,1/yr,0.82579,,,,64.0,-11.0,16.0,M_sun
GW200220_061928-v1,GW200220_061928,1,GWTC-3-confident,1266214786.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,87.0,-23.0,40.0,M_sun,61.0,-25.0,26.0,M_sun,7.2,-0.7,0.4,,6000.0,-3100.0,4800.0,Mpc,0.06,-0.38,0.4,,148.0,-33.0,55.0,M_sun,62.0,-15.0,23.0,M_sun,,,,,0.9,-0.4,0.55,,6.8,,,1/yr,0.62376,,,,141.0,-31.0,51.0,M_sun
200219_201407-v1,200219_201407,1,GWTC-3-marginal,1266178465.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/200219_201407/v1,,,,,,,,,13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,1/yr,0.481,,,,,,,
GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,M_sun,27.9,-8.4,7.4,M_sun,10.7,-0.5,0.3,,3400.0,-1500.0,1700.0,Mpc,-0.08,-0.29,0.23,,65.0,-8.2,12.6,M_sun,27.6,-3.8,5.6,M_sun,,,,,0.57,-0.22,0.22,,0.00099,,,1/yr,0.99,,,,62.2,-7.8,11.7,M_sun
GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926102.8,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51.0,-13.0,22.0,M_sun,30.0,-16.0,14.0,M_sun,8.1,-0.5,0.4,,3800.0,-2000.0,3000.0,Mpc,0.1,-0.36,0.34,,81.0,-14.0,20.0,M_sun,32.9,-8.5,9.3,M_sun,,,,,0.63,-0.29,0.37,,0.35,,,1/yr,0.77277,,,,78.0,-13.0,19.0,M_sun
200214_224526-v1,200214_224526,1,O3_IMBH_marginal,1265755544.5,/O3_IMBH_marginal/,https://gwosc.org/eventapi/json/O3_IMBH_marginal/200214_224526/v1,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1314,,,1/yr,,,,,,,,
200214_224526-v2,200214_224526,2,GWTC-3-marginal,1265755544.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/200214_224526/v2,,,,,,,,,13.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131444,,,1/yr,0.9095,,,,,,,
GW200210_092254-v1,GW200210_092254,1,GWTC-3-confident,1265361792.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,24.1,-4.6,7.5,M_sun,2.83,-0.42,0.47,M_sun,8.4,-0.7,0.5,,940.0,-340.0,430.0,Mpc,0.02,-0.21,0.22,,27.0,-4.3,7.1,M_sun,6.56,-0.4,0.38,M_sun,,,,,0.19,-0.06,0.08,,1.2,,,1/yr,0.54462,,,,26.7,-4.3,7.2,M_sun
GW200209_085452-v1,GW200209_085452,1,GWTC-3-confident,1265273710.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,35.6,-6.8,10.5,M_sun,27.1,-7.8,7.8,M_sun,9.6,-0.5,0.4,,3400.0,-1800.0,1900.0,Mpc,-0.12,-0.3,0.24,,62.6,-9.4,13.9,M_sun,26.7,-4.2,6.0,M_sun,,,,,0.57,-0.26,0.25,,0.046,,,1/yr,0.97236,,,,59.9,-8.9,13.1,M_sun
GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235995.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51.0,-30.0,103.0,M_sun,12.3,-5.5,9.2,M_sun,7.4,-1.2,1.4,,4100.0,-2000.0,4400.0,Mpc,0.45,-0.46,0.42,,63.0,-26.0,100.0,M_sun,19.8,-5.2,10.5,M_sun,,,,,0.66,-0.29,0.53,,4.8,,,1/yr,0.70006,,,,61.0,-26.0,99.0,M_sun
GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202095.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.7,-6.2,9.3,M_sun,27.4,-7.3,6.3,M_sun,10.8,-0.4,0.3,,2230.0,-850.0,1020.0,Mpc,-0.07,-0.27,0.21,,65.3,-6.8,8.1,M_sun,27.7,-3.1,3.7,M_sun,,,,,0.4,-0.14,0.15,,0.00031,,,1/yr,0.99,,,,62.5,-6.4,7.5,M_sun
GW200202_154313-v1,GW200202_154313,1,GWTC-3-confident,1264693411.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,10.1,-1.4,3.5,M_sun,7.3,-1.7,1.1,M_sun,10.8,-0.4,0.2,,410.0,-160.0,150.0,Mpc,0.04,-0.06,0.13,,17.58,-0.67,1.78,M_sun,7.49,-0.2,0.24,M_sun,,,,,0.09,-0.03,0.03,,1e-05,,,1/yr,0.99,,,,16.76,-0.66,1.87,M_sun
200201_203549-v1,GW200201_203549,1,GWTC-3-marginal,1264624567.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW200201_203549/v1,,,,,,,,,9.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,1/yr,0.116,,,,,,,
GW200129_065458-v1,GW200129_065458,1,GWTC-3-confident,1264316116.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,34.5,-3.1,9.9,M_sun,29.0,-9.3,3.3,M_sun,26.8,-0.2,0.2,,890.0,-370.0,260.0,Mpc,0.11,-0.16,0.11,,63.3,-3.4,4.5,M_sun,27.2,-2.3,2.1,M_sun,,,,,0.18,-0.07,0.05,,1e-05,,,1/yr,0.99,,,,60.2,-3.2,4.1,M_sun
