event_name,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_1_source_unit,mass_2_source,mass_2_source_lower,mass_2_source_upper,mass_2_source_unit,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,network_matched_filter_snr_unit,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,luminosity_distance_unit,chi_eff,chi_eff_lower,chi_eff_upper,chi_eff_unit,total_mass_source,total_mass_source_lower,total_mass_source_upper,total_mass_source_unit,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass_source_unit,chirp_mass,chirp_mass_lower,chirp_mass_upper,chirp_mass_unit,redshift,redshift_lower,redshift_upper,redshift_unit,far,far_lower,far_upper,far_unit,p_astro,p_astro_lower,p_astro_upper,p_astro_unit,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_mass_source_unit
191118_212859-v1,GW191118_212859,1,GWTC-3-marginal,1258147757.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW191118_212859/v1,,,,,,,,,9.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1/yr,0.0452,,,,,,,
GW191113_071753-v1,GW191113_071753,1,GWTC-3-confident,1257664691.8,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,29.0,-14.0,12.0,M_sun,5.9,-1.3,4.4,M_sun,7.9,-1.1,0.5,,1370.0,-620.0,1150.0,Mpc,0.0,-0.29,0.37,,34.5,-9.8,10.5,M_sun,10.7,-1.0,1.1,M_sun,,,,,0.26,-0.11,0.18,,26.0,,,1/yr,0.68339,,,,34.0,-10.0,11.0,M_sun
GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855.2,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65.0,-11.0,11.0,M_sun,47.0,-13.0,15.0,M_sun,17.3,-0.5,0.5,,1290.0,-650.0,1130.0,Mpc,-0.29,-0.31,0.42,,112.0,-16.0,20.0,M_sun,47.5,-7.5,9.6,M_sun,,,,,0.25,-0.12,0.18,,0.00018,,,1/yr,0.99,,,,107.0,-15.0,18.0,M_sun
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999739.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,M_sun,7.7,-1.9,1.4,M_sun,9.7,-0.5,0.3,,1150.0,-480.0,430.0,Mpc,-0.02,-0.09,0.13,,18.5,-1.3,2.1,M_sun,7.82,-0.45,0.61,M_sun,,,,,0.23,-0.09,0.07,,0.012,,,1/yr,0.99,,,,17.6,-1.2,2.1,M_sun
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779567.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,M_sun,7.9,-2.4,1.7,M_sun,8.9,-0.5,0.3,,990.0,-470.0,500.0,Mpc,0.21,-0.1,0.16,,20.0,-1.8,3.7,M_sun,8.34,-0.57,0.66,M_sun,,,,,0.2,-0.09,0.09,,0.46,,,1/yr,0.94318,,,,19.0,-1.7,3.8,M_sun
GW190930_133541-v1,GW190930_133541,1,GWTC-2,1253885759.2,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190930_133541/v1,12.3,-2.3,12.4,M_sun,7.8,-3.3,1.7,M_sun,10.01932734846673,,,,760.0,-320.0,360.0,Mpc,0.14,-0.15,0.31,,20.3,-1.5,8.9,M_sun,8.5,-0.5,0.5,M_sun,9.8,-0.2,0.2,M_sun,0.15,-0.06,0.06,,0.03309219802659227,,,1/yr,0.997,,,,19.4,-1.5,9.2,M_sun
GW190930_133541-v2,GW190930_133541,2,GWTC-2.1-confident,1253885759.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,14.2,-4.0,8.0,M_sun,6.9,-2.1,2.4,M_sun,9.7,-0.5,0.3,,770.0,-320.0,320.0,Mpc,0.19,-0.16,0.22,,21.2,-2.0,5.9,M_sun,8.5,-0.4,0.5,M_sun,,,,,0.16,-0.06,0.06,,0.012,,,1/yr,0.99785,,,,20.2,-2.0,6.1,M_sun
GW190930_133541-v3,GW190930_133541,3,IAS-O3a,1253885759.2,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190930_133541/v3,18.0,-8.0,16.0,M_sun,5.0,-2.0,4.0,M_sun,9.83,,,,800.0,-300.0,1600.0,Mpc,0.4,-0.6,0.3,,24.0,-5.0,14.0,M_sun,8.5,-1.4,0.6,M_sun,10.0,-0.6,0.7,M_sun,0.17,-0.07,0.26,,0.001,,,1/yr,1.0,,,,,,,
GW190929_012149-v1,GW190929_012149,1,GWTC-2,1253755327.5,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190929_012149/v1,80.8,-33.2,33.0,M_sun,24.1,-10.6,19.3,M_sun,9.875628916044713,,,,2130.0,-1050.0,3650.0,Mpc,0.01,-0.33,0.34,,104.3,-25.2,34.9,M_sun,35.8,-8.2,14.9,M_sun,52.2,-15.4,19.9,M_sun,0.38,-0.17,0.49,,0.020161443585491597,,,1/yr,0.995693,,,,101.5,-25.3,33.6,M_sun
GW190929_012149-v2,GW190929_012149,2,GWTC-2.1-confident,1253755327.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190929_012149/v2,66.3,-16.6,21.6,M_sun,26.8,-10.6,14.7,M_sun,9.7,-0.6,0.4,,3130.0,-1370.0,2510.0,Mpc,-0.03,-0.28,0.23,,93.3,-15.0,23.3,M_sun,35.6,-7.4,10.2,M_sun,,,,,0.53,-0.2,0.33,,0.16,,,1/yr,0.87042,,,,90.3,-14.6,22.3,M_sun
GW190929_012149-v3,GW190929_012149,3,IAS-O3a,1253755327.5,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190929_012149/v3,70.0,-20.0,70.0,M_sun,25.0,-12.0,17.0,M_sun,9.56,,,,3200.0,-1500.0,3000.0,Mpc,0.0,-0.6,0.4,,100.0,-30.0,70.0,M_sun,36.0,-10.0,14.0,M_sun,56.0,-18.0,27.0,M_sun,0.5,-0.2,0.4,,0.001,,,1/yr,1.0,,,,,,,
GW190926_050336-v1,GW190926_050336,1,GWTC-2.1-confident,1253509434.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,41.1,-12.5,20.8,M_sun,20.4,-8.2,11.4,M_sun,8.1,-0.8,0.6,,3280.0,-1730.0,3400.0,Mpc,-0.02,-0.32,0.25,,61.9,-12.0,22.7,M_sun,24.4,-4.9,9.0,M_sun,,,,,0.55,-0.26,0.44,,1.1,,,1/yr,0.54334,,,,59.6,-11.8,22.1,M_sun
GW190926_050336-v2,GW190926_050336,2,IAS-O3a,1253509434.1,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190926_050336/v2,37.0,-10.0,71.0,M_sun,25.0,-12.0,13.0,M_sun,8.76,,,,4000.0,-2000.0,4000.0,Mpc,-0.3,-0.5,0.8,,61.0,-11.0,77.0,M_sun,25.0,-5.0,21.0,M_sun,43.0,-12.0,47.0,M_sun,0.7,-0.4,0.5,,0.04,,,1/yr,0.96,,,,,,,
GW190925_232845-v1,GW190925_232845,1,GWTC-2.1-confident,1253489343.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,20.8,-2.9,6.5,M_sun,15.5,-3.6,2.5,M_sun,9.7,-0.6,0.3,,930.0,-350.0,460.0,Mpc,0.09,-0.15,0.16,,36.7,-2.8,3.6,M_sun,15.6,-1.1,1.1,M_sun,,,,,0.19,-0.07,0.08,,0.0072,,,1/yr,0.98849,,,,34.9,-2.6,3.5,M_sun
190924_232654-v1,190924_232654,1,O3_IMBH_marginal,1253402833.0,/O3_IMBH_marginal/,https://gwosc.org/eventapi/json/O3_IMBH_marginal/190924_232654/v1,,,,,,,,,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,1/yr,,,,,,,,
GW190924_021846-v1,GW190924_021846,1,GWTC-2,1253326744.8,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190924_021846/v1,8.9,-2.0,7.0,M_sun,5.0,-1.9,1.4,M_sun,13.15903752184739,,,,570.0,-220.0,220.0,Mpc,0.03,-0.09,0.3,,13.9,-1.0,5.1,M_sun,5.8,-0.2,0.2,M_sun,6.44,-0.03,0.04,M_sun,0.12,-0.04,0.04,,1e-05,,,1/yr,1.0,,,,13.3,-1.0,5.2,M_sun
GW190924_021846-v2,GW190924_021846,2,GWTC-2.1-confident,1253326744.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190924_021846/v2,8.8,-1.8,4.3,M_sun,5.1,-1.5,1.2,M_sun,12.0,-0.4,0.3,,550.0,-220.0,220.0,Mpc,0.03,-0.08,0.2,,13.9,-0.9,2.8,M_sun,5.8,-0.2,0.2,M_sun,,,,,0.11,-0.04,0.04,,1e-05,,,1/yr,1.0,,,,13.3,-0.9,3.0,M_sun
GW190920_113516-v1,GW190920_113516,1,IAS-O3a,1253014534.7,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190920_113516/v1,7.0,-3.0,8.0,M_sun,2.8,-2.2,1.2,M_sun,8.62,,,,700.0,-400.0,12100.0,Mpc,0.6,-1.1,0.3,,9.0,-2.0,7.0,M_sun,3.7,-2.1,0.2,M_sun,4.23,-0.05,0.08,M_sun,0.14,-0.07,1.54,,1.7999999999999998,,,1/yr,0.57,,,,,,,
GW190917_114630-v1,GW190917_114630,1,GWTC-2.1-confident,1252756008.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,9.7,-3.9,3.4,M_sun,2.1,-0.4,1.1,M_sun,8.3,-0.8,0.5,,720.0,-310.0,300.0,Mpc,-0.08,-0.43,0.21,,11.8,-2.8,3.0,M_sun,3.7,-0.2,0.2,M_sun,,,,,0.15,-0.06,0.05,,0.66,,,1/yr,0.76643,,,,11.6,-2.9,3.1,M_sun
GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699636.9,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,43.8,-12.6,19.9,M_sun,23.3,-10.0,12.5,M_sun,8.1,-0.5,0.3,,4940.0,-2380.0,3710.0,Mpc,0.2,-0.31,0.33,,68.0,-13.1,18.3,M_sun,26.9,-5.4,8.2,M_sun,,,,,0.77,-0.32,0.45,,4.7,,,1/yr,0.65727,,,,65.0,-12.6,17.3,M_sun
GW190916_200658-v2,GW190916_200658,2,IAS-O3a,1252699636.9,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190916_200658/v2,46.0,-14.0,83.0,M_sun,27.0,-13.0,17.0,M_sun,7.97,,,,7000.0,-4000.0,7000.0,Mpc,0.4,-1.0,0.4,,73.0,-17.0,90.0,M_sun,30.0,-8.0,24.0,M_sun,60.0,-20.0,70.0,M_sun,1.1,-0.6,0.7,,0.048,,,1/yr,0.93,,,,,,,
GW190915_235702-v1,GW190915_235702,1,GWTC-2,1252627040.7,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190915_235702/v1,35.3,-6.4,9.5,M_sun,24.4,-6.1,5.6,M_sun,13.07209167194663,,,,1620.0,-610.0,710.0,Mpc,0.02,-0.25,0.2,,59.9,-6.4,7.5,M_sun,25.3,-2.7,3.2,M_sun,33.1,-3.9,3.3,M_sun,0.3,-0.1,0.11,,1e-05,,,1/yr,1.0,,,,57.2,-6.0,7.1,M_sun
GW190915_235702-v2,GW190915_235702,2,GWTC-2.1-confident,1252627040.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2,32.6,-4.9,8.8,M_sun,24.5,-5.8,4.9,M_sun,13.1,-0.3,0.2,,1750.0,-650.0,710.0,Mpc,-0.03,-0.24,0.19,,57.2,-5.3,7.1,M_sun,24.4,-2.3,3.0,M_sun,,,,,0.32,-0.11,0.11,,1e-05,,,1/yr,1.0,,,,54.7,-5.0,6.6,M_sun
GW190915_235702-v3,GW190915_235702,3,IAS-O3a,1252627040.7,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190915_235702/v3,33.0,-6.0,65.0,M_sun,24.0,-10.0,11.0,M_sun,12.8,,,,1800.0,-900.0,1800.0,Mpc,-0.1,-0.6,0.6,,57.0,-7.0,70.0,M_sun,24.0,-4.0,19.0,M_sun,32.0,-7.0,37.0,M_sun,0.33,-0.15,0.26,,0.001,,,1/yr,1.0,,,,,,,
GW190910_112807-v1,GW190910_112807,1,GWTC-2,1252150105.3,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190910_112807/v1,43.9,-6.1,7.6,M_sun,35.6,-7.2,6.3,M_sun,13.41737344451953,,,,1460.0,-580.0,1030.0,Mpc,0.02,-0.18,0.18,,79.6,-9.1,9.3,M_sun,34.3,-4.1,4.1,M_sun,43.9,-3.6,4.6,M_sun,0.28,-0.1,0.16,,1.8852694587530696e-05,,,1/yr,0.999988,,,,75.8,-8.6,8.5,M_sun
GW190910_112807-v2,GW190910_112807,2,GWTC-2.1-confident,1252150105.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,43.8,-6.8,7.6,M_sun,34.2,-7.3,6.6,M_sun,14.5,-0.3,0.2,,1520.0,-630.0,1090.0,Mpc,0.0,-0.2,0.17,,78.0,-9.1,9.3,M_sun,33.5,-4.1,4.2,M_sun,,,,,0.29,-0.11,0.17,,0.0029,,,1/yr,0.99669,,,,74.4,-8.6,8.5,M_sun
GW190910_012619-v1,GW190910_012619,1,IAS-O3a,1252113997.2,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190910_012619/v1,34.0,-15.0,17.0,M_sun,3.2,-0.6,8.1,M_sun,8.24,,,,1000.0,-400.0,1700.0,Mpc,-0.6,-0.4,1.0,,37.0,-7.0,19.0,M_sun,8.1,-0.8,5.9,M_sun,9.3,-0.7,10.4,M_sun,0.19,-0.07,0.28,,1.5,,,1/yr,0.58,,,,,,,
GW190909_114149-v1,GW190909_114149,1,GWTC-2,1252064527.7,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190909_114149/v1,45.8,-13.3,52.7,M_sun,28.3,-12.7,13.4,M_sun,9.047895,,,,3770.0,-2220.0,3270.0,Mpc,-0.06,-0.36,0.37,,75.0,-17.6,55.9,M_sun,30.9,-7.5,17.2,M_sun,49.8,-12.4,32.2,M_sun,0.62,-0.33,0.41,,1.1112276612026477,,,1/yr,0.886704,,,,72.0,-16.8,54.9,M_sun
GW190909_114149-v2,GW190909_114149,2,GWTC-2.1-auxiliary,1252064527.7,/GWTC-2.1,https://gwosc.org/eventapi/json/GWTC-2.1-auxiliary/GW190909_114149/v2,,,,,,,,,9.047895,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1830194416,,,1/yr,0.1525430959725358,,,,,,,
GW190909_114149-v3,GW190909_114149,3,IAS-O3a,1252064527.7,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190909_114149/v3,110.0,-70.0,50.0,M_sun,28.0,-14.0,24.0,M_sun,7.98,,,,5000.0,-3000.0,6000.0,Mpc,0.6,-1.2,0.3,,140.0,-70.0,60.0,M_sun,45.0,-19.0,23.0,M_sun,80.0,-40.0,50.0,M_sun,0.8,-0.5,0.7,,2.2,,,1/yr,0.52,,,,,,,
GW190906_054335-v1,GW190906_054335,1,IAS-O3a,1251783833.5,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190906_054335/v1,39.0,-11.0,93.0,M_sun,24.0,-13.0,14.0,M_sun,7.86,,,,6000.0,-3000.0,7000.0,Mpc,0.1,-0.8,0.6,,63.0,-14.0,100.0,M_sun,26.0,-7.0,25.0,M_sun,50.0,-20.0,70.0,M_sun,0.9,-0.5,0.8,,1.4,,,1/yr,0.61,,,,,,,
GW190828_065509-v1,GW190828_065509,1,GWTC-2,1251010527.9,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190828_065509/v1,24.1,-7.2,7.0,M_sun,10.2,-2.1,3.6,M_sun,11.12790886853085,,,,1600.0,-600.0,620.0,Mpc,0.08,-0.16,0.16,,34.4,-4.4,5.4,M_sun,13.3,-1.0,1.2,M_sun,17.4,-0.7,0.6,M_sun,0.3,-0.1,0.1,,1e-05,,,1/yr,1.0,,,,33.1,-4.5,5.5,M_sun
GW190828_065509-v2,GW190828_065509,2,GWTC-2.1-confident,1251010527.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,23.7,-6.7,6.8,M_sun,10.4,-2.2,3.8,M_sun,10.2,-0.5,0.4,,1540.0,-650.0,690.0,Mpc,0.05,-0.17,0.16,,34.3,-4.3,5.2,M_sun,13.4,-1.0,1.4,M_sun,,,,,0.29,-0.11,0.11,,3.5e-05,,,1/yr,0.99998,,,,33.0,-4.3,5.3,M_sun
GW190828_065509-v3,GW190828_065509,3,IAS-O3a,1251010527.8,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190828_065509/v3,24.0,-8.0,23.0,M_sun,10.0,-4.0,5.0,M_sun,10.4,,,,1500.0,-600.0,1400.0,Mpc,0.0,-0.4,0.7,,35.0,-6.0,19.0,M_sun,13.4,-1.6,2.0,M_sun,17.3,-1.8,3.7,M_sun,0.29,-0.1,0.21,,0.001,,,1/yr,1.0,,,,,,,
GW190828_063405-v1,GW190828_063405,1,GWTC-2,1251009263.8,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190828_063405/v1,32.1,-4.0,5.8,M_sun,26.2,-4.8,4.6,M_sun,16.629603122143354,,,,2130.0,-930.0,660.0,Mpc,0.19,-0.16,0.15,,58.0,-4.8,7.7,M_sun,25.0,-2.1,3.4,M_sun,34.5,-2.8,2.9,M_sun,0.38,-0.15,0.1,,1e-05,,,1/yr,1.0,,,,54.9,-4.3,7.2,M_sun
GW190828_063405-v2,GW190828_063405,2,GWTC-2.1-confident,1251009263.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,31.9,-4.1,5.4,M_sun,25.8,-5.3,4.9,M_sun,16.5,-0.3,0.2,,2070.0,-920.0,650.0,Mpc,0.15,-0.16,0.15,,57.2,-4.3,7.9,M_sun,24.6,-2.0,3.6,M_sun,,,,,0.38,-0.15,0.1,,1e-05,,,1/yr,1.0,,,,54.3,-4.0,7.3,M_sun
GW190828_063405-v3,GW190828_063405,3,IAS-O3a,1251009263.7,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190828_063405/v3,33.0,-5.0,64.0,M_sun,26.0,-12.0,9.0,M_sun,16.0,,,,2300.0,-1200.0,1700.0,Mpc,0.2,-0.6,0.5,,58.0,-5.0,68.0,M_sun,25.0,-3.0,19.0,M_sun,35.0,-7.0,37.0,M_sun,0.41,-0.19,0.24,,0.001,,,1/yr,1.0,,,,,,,
GW190821_124821-v1,GW190821_124821,1,IAS-O3a,1250426919.9,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190821_124821/v1,8.0,-2.0,9.0,M_sun,3.9,-2.4,1.4,M_sun,8.8,,,,800.0,-400.0,5800.0,Mpc,-0.4,-0.3,0.8,,11.9,-1.8,7.1,M_sun,4.8,-2.0,0.3,M_sun,5.59,-0.12,0.16,M_sun,0.17,-0.08,0.8,,1.4,,,1/yr,0.6,,,,,,,
GW190818_232544-v1,GW190818_232544,1,IAS-O3a,1250205962.3,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190818_232544/v1,70.0,-20.0,50.0,M_sun,34.0,-19.0,21.0,M_sun,8.07,,,,6000.0,-3000.0,7000.0,Mpc,0.7,-1.2,0.2,,110.0,-30.0,40.0,M_sun,41.0,-13.0,15.0,M_sun,80.0,-30.0,30.0,M_sun,0.9,-0.4,0.8,,0.29,,,1/yr,0.81,,,,,,,
GW190814-v1,GW190814,1,O3_Discovery_Papers,1249852257.0,/o3_eventdata_docs/,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190814/v1,23.2,-1.0,1.1,M_sun,2.59,-0.09,0.08,M_sun,25.0,-0.2,0.1,,241.0,-45.0,41.0,Mpc,-0.002,-0.061,0.06,,25.8,-0.9,1.0,M_sun,6.09,-0.06,0.06,M_sun,6.41,-0.02,0.02,M_sun,0.053,-0.01,0.009,,,,,,,,,,,,,
GW190814-v2,GW190814,2,GWTC-2,1249852257.0,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190814/v2,23.2,-1.0,1.1,M_sun,2.59,-0.09,0.08,M_sun,22.17523325999954,,,,240.0,-50.0,40.0,Mpc,0.0,-0.06,0.06,,25.8,-0.9,1.0,M_sun,6.09,-0.06,0.06,M_sun,6.41,-0.02,0.02,M_sun,0.05,-0.01,0.009,,1e-05,,,1/yr,1.0,,,,25.6,-0.9,1.1,M_sun
GW190814_211039-v3,GW190814,3,GWTC-2.1-confident,1249852257.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,23.3,-1.4,1.4,M_sun,2.6,-0.1,0.1,M_sun,25.3,-0.2,0.1,,230.0,-50.0,40.0,Mpc,0.0,-0.07,0.07,,25.9,-1.3,1.3,M_sun,6.11,-0.05,0.06,M_sun,,,,,0.05,-0.01,0.01,,1e-05,,,1/yr,1.0,,,,25.7,-1.3,1.3,M_sun
GW190814_192009-v1,GW190814_192009,1,IAS-O3a,1249845627.6,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190814_192009/v1,80.0,-30.0,110.0,M_sun,50.0,-30.0,30.0,M_sun,7.96,,,,9000.0,-6000.0,7000.0,Mpc,0.5,-1.1,0.4,,130.0,-40.0,110.0,M_sun,51.0,-19.0,29.0,M_sun,120.0,-70.0,40.0,M_sun,1.2,-0.8,0.9,,1.5,,,1/yr,0.64,,,,,,,
GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,46.2,-11.2,15.4,M_sun,30.6,-11.3,11.8,M_sun,8.1,-0.7,0.5,,6130.0,-3080.0,3720.0,Mpc,0.37,-0.39,0.29,,76.7,-13.8,19.5,M_sun,31.9,-6.3,8.8,M_sun,,,,,0.92,-0.4,0.43,,0.63,,,1/yr,0.95372,,,,72.4,-13.2,18.2,M_sun
GW190805_211137-v2,GW190805_211137,2,IAS-O3a,1249074715.3,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190805_211137/v2,45.0,-11.0,78.0,M_sun,32.0,-19.0,13.0,M_sun,8.58,,,,7000.0,-4000.0,6000.0,Mpc,0.6,-1.2,0.3,,78.0,-17.0,75.0,M_sun,32.0,-9.0,18.0,M_sun,70.0,-30.0,50.0,M_sun,1.0,-0.6,0.6,,0.3,,,1/yr,0.81,,,,,,,
GW190803_022701-v1,GW190803_022701,1,GWTC-2,1248834439.9,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190803_022701/v1,37.3,-7.0,10.6,M_sun,27.3,-8.2,7.8,M_sun,8.970600357413534,,,,3270.0,-1580.0,1950.0,Mpc,-0.03,-0.27,0.24,,64.5,-9.0,12.6,M_sun,27.3,-4.1,5.7,M_sun,42.7,-6.1,6.3,M_sun,0.55,-0.24,0.26,,0.026934317250435554,,,1/yr,0.99411,,,,61.7,-8.5,11.8,M_sun
GW190803_022701-v2,GW190803_022701,2,GWTC-2.1-confident,1248834439.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,37.7,-6.7,9.8,M_sun,27.6,-8.5,7.6,M_sun,9.3,-0.5,0.3,,3190.0,-1470.0,1630.0,Mpc,-0.01,-0.28,0.23,,65.0,-8.1,12.0,M_sun,27.6,-3.8,5.4,M_sun,,,,,0.54,-0.22,0.22,,0.073,,,1/yr,0.97383,,,,62.1,-7.6,11.2,M_sun
GW190803_022701-v3,GW190803_022701,3,IAS-O3a,1248834439.9,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190803_022701/v3,38.0,-8.0,72.0,M_sun,27.0,-14.0,11.0,M_sun,8.61,,,,4000.0,-2000.0,5000.0,Mpc,0.0,-0.7,0.6,,66.0,-11.0,72.0,M_sun,28.0,-6.0,18.0,M_sun,44.0,-13.0,56.0,M_sun,0.6,-0.3,0.7,,0.064,,,1/yr,0.94,,,,,,,
GW190731_140936-v1,GW190731_140936,1,GWTC-2,1248617394.6,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190731_140936/v1,41.5,-9.0,12.2,M_sun,28.8,-9.5,9.7,M_sun,8.460146466288636,,,,3300.0,-1720.0,2390.0,Mpc,0.06,-0.24,0.24,,70.1,-11.3,15.8,M_sun,29.5,-5.2,7.1,M_sun,46.6,-8.2,6.8,M_sun,0.55,-0.26,0.31,,0.20584212311867794,,,1/yr,0.966501,,,,67.0,-10.8,14.6,M_sun
GW190731_140936-v2,GW190731_140936,2,GWTC-2.1-confident,1248617394.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190731_140936/v2,41.8,-9.1,12.7,M_sun,29.0,-9.9,10.2,M_sun,8.8,-0.4,0.3,,3330.0,-1770.0,2350.0,Mpc,0.07,-0.25,0.28,,70.7,-11.4,16.3,M_sun,29.7,-5.3,7.4,M_sun,,,,,0.56,-0.26,0.31,,0.33,,,1/yr,0.83427,,,,67.4,-10.8,15.3,M_sun
GW190731_140936-v3,GW190731_140936,3,IAS-O3a,1248617394.6,/IAS-O3a/,https://gwosc.org/eventapi/json/IAS-O3a/GW190731_140936/v3,41.0,-10.0,81.0,M_sun,29.0,-15.0,13.0,M_sun,8.28,,,,4000.0,-2000.0,6000.0,Mpc,0.1,-0.8,0.6,,70.0,-14.0,83.0,M_sun,29.0,-7.0,22.0,M_sun,50.0,-18.0,60.0,M_sun,0.7,-0.4,0.7,,0.49,,,1/yr,0.76,,,,,,,
GW190728_064510-v1,GW190728_064510,1,GWTC-2,1248331528.5,/GWTC-2/,https://gwosc.org/eventapi/json/GWTC-2/GW190728_064510/v1,12.3,-2.2,7.2,M_sun,8.1,-2.6,1.7,M_sun,13.64274847591606,,,,870.0,-370.0,260.0,Mpc,0.12,-0.07,0.2,,20.6,-1.3,4.5,M_sun,8.6,-0.3,0.5,M_sun,10.1,-0.08,0.09,M_sun,0.18,-0.07,0.05,,1e-05,,,1/yr,1.0,,,,19.6,-1.3,4.7,M_sun
GW190728_064510-v2,GW190728_064510,2,GWTC-2.1-confident,1248331528.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190728_064510/v2,12.5,-2.3,6.9,M_sun,8.0,-2.6,1.7,M_sun,13.1,-0.4,0.3,,880.0,-380.0,260.0,Mpc,0.13,-0.07,0.19,,20.7,-1.4,4.2,M_sun,8.6,-0.3,0.6,M_sun,,,,,0.18,-0.07,0.05,,1e-05,,,1/yr,1.0,,,,19.7,-1.4,4.4,M_sun
