event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW170814-v2,1186741861.5,,,,,,,,O1_O2-Preliminary,GW170814,2017-08-14,2017,Unknown,O2,,,,False
GW170817-v3,1187008882.4,1.46,1.27,,1.186,40.0,33.0,1e-07,GWTC-1-confident,GW170817,2017-08-17,2017,BNS,O2,,0–500 Mpc,0.8698630136986302,True
GW170817-v2,1187008882.4,,,,,,,,O1_O2-Preliminary,GW170817,2017-08-17,2017,Unknown,O2,,,,False
GW170817-v1,1187008882.4,,,,,,,,O1_O2-Preliminary,GW170817,2017-08-17,2017,Unknown,O2,,,,False
GW170818-v1,1187058327.1,35.4,26.7,,26.5,1060.0,11.3,4.2e-05,GWTC-1-confident,GW170818,2017-08-18,2017,BBH,O2,,1k–2k,0.7542372881355932,False
GW170818-v2,1187058327.1,34.8,27.6,62.5,26.8,1080.0,12.0,,GWTC-2.1-confident,GW170818,2017-08-18,2017,BBH,O2,60–100,1k–2k,0.7931034482758622,False
GW170823-v2,1187529256.5,38.3,29.0,67.0,28.6,1970.0,12.2,,GWTC-2.1-confident,GW170823,2017-08-23,2017,BBH,O2,60–100,1k–2k,0.7571801566579635,False
GW170823-v1,1187529256.5,39.5,29.0,,29.2,1940.0,11.5,1e-07,GWTC-1-confident,GW170823,2017-08-23,2017,BBH,O2,,1k–2k,0.7341772151898734,True
GW190403_051519-v1,1238303737.2,85.0,20.0,106.6,34.0,8280.0,7.6,7.7,GWTC-2.1-confident,GW190403_051519,2019-04-03,2019,BBH,O3a,100+,5k+ Mpc,0.23529411764705882,False
GW190408_181802-v2,1238782700.2,24.8,18.5,43.4,18.5,1540.0,14.6,1e-05,GWTC-2.1-confident,GW190408_181802,2019-04-08,2019,BBH,O3a,40–60,1k–2k,0.7459677419354839,False
GW190408_181802-v3,1238782700.3,25.0,18.0,43.0,18.0,1600.0,14.3,0.001,IAS-O3a,GW190408_181802,2019-04-08,2019,BBH,O3a,40–60,1k–2k,0.72,False
GW190408_181802-v1,1238782700.3,24.6,18.4,43.0,18.3,1550.0,14.79290708414002,1e-05,GWTC-2,GW190408_181802,2019-04-08,2019,BBH,O3a,40–60,1k–2k,0.7479674796747966,False
GW190412-v1,1239082262.2,,,,,,,,O3_Discovery_Papers,GW190412,2019-04-12,2019,Unknown,O3a,,,,False
GW190412-v3,1239082262.2,30.1,8.3,38.4,13.3,740.0,19.674587670393503,1e-05,GWTC-2,GW190412,2019-04-12,2019,BBH,O3a,20–40,500–1k,0.27574750830564787,False
GW190412-v2,1239082262.2,30.1,8.3,38.4,13.3,740.0,19.0,,O3_Discovery_Papers,GW190412,2019-04-12,2019,BBH,O3a,20–40,500–1k,0.27574750830564787,False
GW190412-v5,1239082262.1,31.0,8.0,39.0,13.3,700.0,17.9,0.001,IAS-O3a,GW190412,2019-04-12,2019,BBH,O3a,20–40,500–1k,0.25806451612903225,False
GW190412_053044-v4,1239082262.1,27.7,9.0,36.8,13.3,720.0,19.8,1e-05,GWTC-2.1-confident,GW190412,2019-04-12,2019,BBH,O3a,20–40,500–1k,0.3249097472924188,False
GW190413_134308-v3,1239198206.7,56.0,29.0,84.0,34.0,4000.0,9.62,0.001,IAS-O3a,GW190413_134308,2019-04-13,2019,BBH,O3a,60–100,2k–5k,0.5178571428571429,False
GW190413_134308-v1,1239198206.7,47.5,31.8,78.8,33.0,4450.0,9.970916853163908,0.043657319879159,GWTC-2,GW190413_134308,2019-04-13,2019,BBH,O3a,60–100,2k–5k,0.6694736842105263,False
GW190413_052954-v2,1239168612.5,33.7,24.2,58.0,24.5,3320.0,9.0,0.82,GWTC-2.1-confident,GW190413_052954,2019-04-13,2019,BBH,O3a,40–60,2k–5k,0.7181008902077151,False
GW190413_052954-v3,1239168612.5,33.0,23.0,57.0,24.0,4000.0,8.78,0.24,IAS-O3a,GW190413_052954,2019-04-13,2019,BBH,O3a,40–60,2k–5k,0.696969696969697,False
GW190413_052954-v1,1239168612.5,34.7,23.7,58.6,24.6,3550.0,8.555396161858269,0.0716832666370279,GWTC-2,GW190413_052954,2019-04-13,2019,BBH,O3a,40–60,2k–5k,0.6829971181556195,False
